nombre,tipo,latitud,longitud,direccion,localidad,telefono,descripcion
Plaza Manuel Belgrano,reciclaje,-34.82583,-58.395,Eugenio de Burzaco 250,Burzaco,,Punto de reciclaje en Plaza Manuel Belgrano
Plaza Japon,reciclaje,-34.83544,-58.37444,Pablo Podesta 715,Burzaco,,Punto de reciclaje en Plaza Japon
Plaza nuestra señora de lujan,reciclaje,-34.78653,-58.3698637,Jorge Santiago Bynnon 2932,Marmol,,Punto de reciclaje en Plaza Marmol
Plaza 25 de Mayo,reciclaje,-34.7923879,-58.3550535,Colon 3499,Calzada,,Punto de reciclaje en Plaza 25 de Mayo
Plaza 13 de Julio,reciclaje,-34.7871035,-58.3217355,Margartia 738,Solano,,Punto de reciclaje en Plaza 13 de Julio
Plaza Puerto Argentino,reciclaje,-34.8157261,-58.4204845,Pedro Echague 299,Malvinas Argentinas,,Punto de reciclaje en Plaza Puerto Puerto Argentino
Circuito Hector G. Durando,reciclaje,-34.8844455,-58.385903,Reina Elena & Jorge Newbery. Glew. Provincia de Buenos Aires,Glew,,Punto de reciclaje en Circuito Hector G Durando
Polideportivo Don Orione,reciclaje,-34.8179095,-58.3493752,Av. Eva Peron 750,Don Orione,,Punto de reciclaje en Polideportivo Don Don Orione
Boulevard Shopping,recoleccion,-34.8084662,-58.4032486,Av. Hipólito Yrigoyen 13298. B1846 Adrogué. Provincia de Buenos Aires,Adrogue,4294-1769 ,Punto de recoleccion en Boulevard Shopping Boulevard Shopping
Delegacion Municipal Burzaco,recoleccion,-34.8220704,-58.3927518,Roca y 9 de Julio,Burzaco,4299-2273,Punto de recoleccion en Delegacion Municipal Municipal Burzaco
Delegacion Municipal Claypole,recoleccion,-34.797555,-58.3369146,Francisco Bollini 160. B1849ECB Claypole. Provincia de Buenos Aires,Claypole,4291-1944,Punto de recoleccion en Delegacion Municipal Municipal Claypole
Delegacion Municipal Don Orione,recoleccion,-34.8097915,-58.33557,:Eva Perón y Dufaur,Don Orione, 4268-6747,Punto de recoleccion en Delegacion Municipal Don Orione
Delegacion Municipal Glew,recoleccion,-34.89242,-58.3903886, Sarmiento 380,Glew,02224-42-0792,Punto de recoleccion en Delegacion Municipal Municipal Glew
Delegacion Municipal San jose,recoleccion,-34.7777655,-58.3509807,Salta 1915,San José,4211-1007,Punto de recoleccion en Delegacion Municipal San jose
Amigos de la Biblioteca Esteban Adrogué,biblioteca,-34.797233,-58.38155,La Rosa 974 0,Adrogue,42141245,Biblioteca
Bib. Pop. La Margarita blanca,biblioteca,-34.804586,-58.392516,Gral.Paz 765,Adrogue,42944738,Biblioteca
Bib.Pop. Mahatma Gandhi,biblioteca,-34.799917,-58.3364,Lobato 843,Claypole,42911465,Biblioteca
Bib.Pop. Pablo Rojas Paz,biblioteca,-34.891483,-58.38585,A.del Valle y Mansilla 0,Glew,420095,Biblioteca
Bib.Pop. Manuel Belgrano del Barrio de Villa París,biblioteca,-34.87905,-58.3788,Scalabrini OrtÃ­z 2560,Glew,,Biblioteca
Bib.Pop. Fray Luis Beltán,biblioteca,-34.894433,-58.399517,Fausto 233,Glew,434784,Biblioteca
Bib.Pop.Soc.Fom. Marín Fierro,biblioteca,-34.868283,-58.388433,Chaco 1415 0,Longchamps,42334166,Biblioteca
Bib. Pop. Atahualpa Yupanqui,biblioteca,-34.858633,-58.386383,Rivadavia 1516,Longchamps oeste,42333211,Biblioteca
Centro de Sanidad Animal y Zoonosis,cuidado_animal,-34.824279,-58.3701053,Martín Fierro 33,Burzaco,011 5034-6200,Centro Municipal de Sanidad Animal y Zoonosis
